arch,params_M,input,flops_G,imagenet_acc,accuracy,balanced_accuracy,f1_macro,top3_acc,cohen_kappa,split_protocol,train_status,train_hours,vram_GB,model_size_MB,latency_ms,eval_status
resnet50,25.6,224,4.1,80.4,0.5665,,0.5314,0.7488,,image,OK,3.09,,90.39,20.59,OK
efficientnet_b3,12.2,300,1.8,81.6,,,,,,,OK,3.12,,,,
mobilenet_v3_large,5.5,224,0.22,75.2,,,,,,,OK,2.69,,,,
convnext_tiny,28.6,232,4.5,82.1,,,,,,,,,,,,
